;image;category;title;extract;detail_url;date
0;https://profile.es/wp-content/media/tendencias-diseno-web-300x140.jpg;diseño web;8 tendencias de diseño web en 2022 con ejemplos reales;¿Qué tendencias en diseño web marcarán 2022? En este artículo recopilamos las técnicas y estilos visuales que te ayudarán a;https://profile.es/blog/tendencias-diseno-web/;17 de enero de 2022
1;https://profile.es/wp-content/media/Mulesoft-Anypoint-Platform-web-1-300x167.webp;Negocio y Transformación Digital;Qué es Mulesoft Anypoint Platform y por qué lo necesito;En este post conoceremos Mulesoft Anypoint Platform, una herramienta de integración clave para la transformación digital de las empresas.  Si;https://profile.es/blog/mulesoft-anypoint-platform/;11 de enero de 2022
2;https://profile.es/wp-content/media/Como-consumir-una-API-desde-JavaScript-300x140.png;Desarrollo web;Cómo consumir una API desde JavaScript nativo;En este post vamos a ver un ejemplo real de cómo consumir una API con JavaScript nativo. Es decir, lo;https://profile.es/blog/consumir-api-javascript/;4 de enero de 2022
3;https://profile.es/wp-content/media/Entrevista-tecnica-de-Angular-min-300x167.png;Desarrollo web;Cómo preparar una entrevista técnica de Angular siendo junior;Si eres o quieres ser desarrollador frontend y vives en España, sabrás que Angular es una de las tecnologías más;https://profile.es/blog/entrevista-tecnica-de-angular-junior/;21 de diciembre de 2021
4;https://profile.es/wp-content/media/Las-mejores-herramientas-Kanban-online-para-gestionar-proyectos-de-software-300x140.png;Metodologías ágiles;Las 3 mejores herramientas Kanban online para gestionar proyectos de software;Analizamos y comparamos las mejores herramientas Kanban online para poner en práctica este método en proyectos de software. En anteriores;https://profile.es/blog/mejores-herramientas-kanban/;13 de diciembre de 2021
5;https://profile.es/wp-content/media/Expresiones-regulares-RegEx-1-300x167.png;Desarrollo web;Qué son y cómo usar expresiones regulares RegEx;El término de expresiones regulares nace a partir del término inglés regular expressions. Del que también surgen varias abreviaturas como;https://profile.es/blog/expresiones-regulares-regex/;7 de diciembre de 2021
6;https://profile.es/wp-content/media/Que-es-un-sistema-de-diseno-300x140.png;diseño web;¿Qué es un Design System? Pasos, ejemplos y herramientas para crear uno;Los Design System o sistemas de diseño ayudan a agilizar el proceso de diseño del producto y hacerlo más transparente;https://profile.es/blog/que-es-design-system-ejemplo/;29 de noviembre de 2021
7;https://profile.es/wp-content/media/Devbook-el-motor-de-busqueda-para-desarrolladores-300x140.png;Desarrollo web;Devbook: el motor de búsqueda sólo para desarrolladores;En la actualidad, existen multitud de herramientas para mejorar la productividad en desarrollo de software. Hoy vamos a presentaros Devbook,;https://profile.es/blog/que-es-devbook-motor-busqueda-desarrolladores/;22 de noviembre de 2021
8;https://profile.es/wp-content/media/que-es-y-para-que-sirve-kubernetes-300x140.png;Cloud Computing;Introducción a Kubernetes: ¿qué es y para qué sirve?;En este artículo hacemos una introducción a Kubernetes, el sistema de gestión de contenedores más usado a día de hoy.;https://profile.es/blog/que-es-kubernetes/;15 de noviembre de 2021
9;https://profile.es/wp-content/media/Como-hacer-un-tablero-kanban-300x140.png;Metodologías ágiles;Cómo hacer un tablero Kanban en 5 pasos con un ejemplo de software;En el post de hoy vamos a hacer un tablero Kanban paso a paso. De este modo, vamos a entrar;https://profile.es/blog/como-hacer-tablero-kanban-ejemplo/;8 de noviembre de 2021
